"goal.x","region_id","score.x","year","goal.y","score.y","region_name"
"BD",1,-0.08,2017,"CP",0.07,"Cocos Islands"
"BD",2,-0.09,2017,"CP",0.07,"Christmas Island"
"BD",5,-0.13,2017,"CP",-0.08,"New Caledonia"
"BD",6,-0.12,2017,"CP",0,"Vanuatu"
"BD",7,-0.09,2017,"CP",0.18,"Solomon Islands"
"BD",8,-0.25,2017,"CP",-0.28,"Palau"
"BD",9,0,2017,"CP",0.09,"Micronesia"
"BD",13,-0.12,2017,"CP",-0.02,"Northern Mariana Islands and Guam"
"BD",14,-0.13,2017,"CP",-0.01,"Taiwan"
"BD",15,-0.26,2017,"CP",-0.22,"Philippines"
"BD",16,0.03,2017,"CP",0.27,"Australia"
"BD",17,-0.03,2017,"CP",0.11,"Papua New Guinea"
"BD",18,-0.24,2017,"CP",-0.03,"Fiji"
"BD",19,-0.12,2017,"CP",0.06,"Tuvalu"
"BD",21,-0.07,2017,"CP",-0.09,"North Korea"
"BD",24,-0.18,2017,"CP",-0.06,"Cambodia"
"BD",25,-0.27,2017,"CP",-0.28,"Thailand"
"BD",26,-0.1,2017,"CP",0.12,"Andaman and Nicobar"
"BD",28,-0.13,2017,"CP",0,"Comoro Islands"
"BD",29,-0.12,2017,"CP",0.09,"Mayotte"
"BD",30,-0.11,2017,"CP",0.09,"Glorioso Islands"
"BD",31,-0.15,2017,"CP",-0.16,"Seychelles"
"BD",32,-0.08,2017,"CP",0.09,"R_union"
"BD",33,-0.11,2017,"CP",0.09,"Juan de Nova Island"
"BD",34,-0.09,2017,"CP",0.09,"Bassas da India"
"BD",35,-0.07,2017,"CP",0.09,"Ile Europa"
"BD",36,-0.07,2017,"CP",0.09,"Ile Tromelin"
"BD",37,-0.11,2017,"CP",-0.01,"Mauritius"
"BD",39,-0.1,2017,"CP",0.03,"Maldives"
"BD",40,0.02,2017,"CP",0.72,"Sri Lanka"
"BD",41,-0.15,2017,"CP",-0.14,"Mozambique"
"BD",42,-0.2,2017,"CP",-0.16,"Madagascar"
"BD",43,-0.12,2017,"CP",-0.02,"Kenya"
"BD",44,-0.11,2017,"CP",0,"Somalia"
"BD",45,-0.14,2017,"CP",-0.01,"Eritrea"
"BD",46,-0.12,2017,"CP",0,"Djibouti"
"BD",47,-0.06,2017,"CP",0.33,"Yemen"
"BD",48,-0.1,2017,"CP",0,"Oman"
"BD",49,-0.15,2017,"CP",0,"Sudan"
"BD",50,-0.15,2017,"CP",0,"Saudi Arabia"
"BD",52,-0.19,2017,"CP",-0.32,"Bahrain"
"BD",53,-0.1,2017,"CP",0,"Pakistan"
"BD",54,-0.13,2017,"CP",0,"United Arab Emirates"
"BD",59,0.06,2017,"CP",0.5,"Belgium"
"BD",65,-0.09,2017,"CP",0,"Gambia"
"BD",66,-0.1,2017,"CP",0,"Senegal"
"BD",69,-0.12,2017,"CP",-0.6,"Latvia"
"BD",70,-0.07,2017,"CP",-0.72,"Estonia"
"BD",73,-0.07,2017,"CP",-0.01,"Russia"
"BD",79,0.16,2017,"CP",1,"Israel"
"BD",96,-0.08,2017,"CP",0,"Sierra Leone"
"BD",97,-0.07,2017,"CP",0,"Liberia"
"BD",98,-0.06,2017,"CP",0,"Togo"
"BD",99,-0.07,2017,"CP",0,"Benin"
"BD",102,-0.06,2017,"CP",0.04,"South Africa"
"BD",104,-0.08,2017,"CP",0,"Equatorial Guinea"
"BD",106,-0.08,2017,"CP",-0.01,"Ghana"
"BD",108,-0.07,2017,"CP",-0.03,"Bermuda"
"BD",110,-0.07,2017,"CP",-0.03,"Bahamas"
"BD",111,-0.19,2017,"CP",-0.59,"Turks and Caicos Islands"
"BD",112,-0.05,2017,"CP",0.06,"Cuba"
"BD",113,-0.19,2017,"CP",-0.1,"Cayman Islands"
"BD",114,-0.05,2017,"CP",0,"Haiti"
"BD",115,-0.06,2017,"CP",0.02,"Dominican Republic"
"BD",116,-0.07,2017,"CP",-0.02,"Puerto Rico and Virgin Islands of the United States"
"BD",117,-0.2,2017,"CP",-0.09,"British Virgin Islands"
"BD",118,-0.2,2017,"CP",-0.22,"Anguilla"
"BD",119,-0.1,2017,"CP",-0.14,"Saint Kitts and Nevis"
"BD",120,-0.11,2017,"CP",-0.21,"Antigua and Barbuda"
"BD",121,-0.32,2017,"CP",-1,"Montserrat"
"BD",122,-0.07,2017,"CP",-0.04,"Saint Lucia"
"BD",123,-0.13,2017,"CP",-0.27,"Dominica"
"BD",124,-0.06,2017,"CP",0.04,"Barbados"
"BD",125,-0.07,2017,"CP",-0.01,"Grenada"
"BD",126,-0.05,2017,"CP",0.03,"Trinidad and Tobago"
"BD",127,-0.07,2017,"CP",-0.05,"Saint Vincent and the Grenadines"
"BD",129,-0.06,2017,"CP",0.02,"Panama"
"BD",130,-0.07,2017,"CP",0,"Costa Rica"
"BD",131,-0.06,2017,"CP",0,"Nicaragua"
"BD",132,-0.16,2017,"CP",-0.04,"Colombia"
"BD",133,-0.06,2017,"CP",0.04,"Honduras"
"BD",134,-0.07,2017,"CP",0,"El Salvador"
"BD",135,-0.19,2017,"CP",-0.6,"Mexico"
"BD",136,-0.09,2017,"CP",-0.03,"Guatemala"
"BD",137,-0.09,2017,"CP",0,"Ecuador"
"BD",138,0.02,2017,"CP",0,"Peru"
"BD",139,-0.07,2017,"CP",-0.01,"Venezuela"
"BD",140,-0.07,2017,"CP",0.03,"Guadeloupe and Martinique"
"BD",143,-0.21,2017,"CP",0.06,"Iceland"
"BD",145,-0.03,2017,"CP",0,"Greenland"
"BD",147,-0.1,2017,"CP",0.01,"French Polynesia"
"BD",151,-0.13,2017,"CP",-0.02,"American Samoa"
"BD",152,-0.08,2017,"CP",0.08,"Samoa"
"BD",153,-0.18,2017,"CP",-0.42,"Cook Islands"
"BD",154,-0.17,2017,"CP",-0.37,"Niue"
"BD",156,-0.22,2017,"CP",-0.42,"Tokelau"
"BD",158,-0.1,2017,"CP",-0.02,"Howland Island and Baker Island"
"BD",161,-0.12,2017,"CP",0.01,"Wallis and Futuna"
"BD",162,-0.07,2017,"CP",0,"New Zealand"
"BD",163,-0.16,2017,"CP",-0.2,"United States"
"BD",164,0.05,2017,"CP",0.48,"Belize"
"BD",166,-0.07,2017,"CP",-0.04,"Jamaica"
"BD",167,-0.08,2017,"CP",0,"Guyana"
"BD",168,-0.08,2017,"CP",-0.01,"Suriname"
"BD",169,-0.08,2017,"CP",-0.01,"French Guiana"
"BD",171,-0.19,2017,"CP",-0.01,"Brazil"
"BD",174,-0.21,2017,"CP",-0.7,"Finland"
"BD",175,-0.06,2017,"CP",0.03,"Denmark"
"BD",176,0.01,2017,"CP",0.03,"Germany"
"BD",177,0.04,2017,"CP",0.5,"Netherlands"
"BD",178,-0.22,2017,"CP",0,"Poland"
"BD",179,0.15,2017,"CP",0.31,"France"
"BD",180,0.1,2017,"CP",0.89,"United Kingdom"
"BD",181,-0.07,2017,"CP",0,"Ireland"
"BD",184,0.04,2017,"CP",0.5,"Italy"
"BD",189,-0.22,2017,"CP",-0.75,"Lithuania"
"BD",190,-0.14,2017,"CP",0,"Qatar"
"BD",191,-0.11,2017,"CP",0,"Iran"
"BD",193,-0.08,2017,"CP",0,"Guinea Bissau"
"BD",194,-0.07,2017,"CP",0,"Guinea"
"BD",195,-0.08,2017,"CP",-0.01,"Ivory Coast"
"BD",196,-0.32,2017,"CP",0,"Nigeria"
"BD",197,-0.11,2017,"CP",0,"Cameroon"
"BD",198,-0.07,2017,"CP",0,"Gabon"
"BD",199,-0.08,2017,"CP",-0.01,"Democratic Republic of the Congo"
"BD",200,-0.08,2017,"CP",-0.01,"Angola"
"BD",202,-0.22,2017,"CP",0.18,"Tanzania"
"BD",203,-0.08,2017,"CP",0.17,"India"
"BD",204,-0.12,2017,"CP",0,"Bangladesh"
"BD",205,-0.15,2017,"CP",-0.03,"Myanmar"
"BD",206,-0.28,2017,"CP",-0.04,"Malaysia"
"BD",207,-0.14,2017,"CP",-0.01,"Vietnam"
"BD",208,-0.16,2017,"CP",0,"Singapore"
"BD",209,-0.2,2017,"CP",-0.22,"China"
"BD",210,-0.1,2017,"CP",0.12,"Japan"
"BD",214,-0.13,2017,"CP",0,"Egypt"
"BD",215,-0.26,2017,"CP",-0.24,"Jordan"
"BD",216,-0.27,2017,"CP",-0.12,"Indonesia"
"BD",218,-0.03,2017,"CP",0.09,"Canada"
"BD",220,-0.05,2017,"CP",0.03,"Sint Maarten"
"BD",221,-0.06,2017,"CP",0.04,"Northern Saint-Martin"
"BD",222,-0.12,2017,"CP",-0.82,"Sweden"
"BD",223,-0.02,2017,"CP",-0.12,"Norway"
"BD",227,-0.06,2017,"CP",0,"Jersey"
"BD",228,-0.05,2017,"CP",0,"Guernsey"
"BD",231,-0.14,2017,"CP",-0.01,"East Timor"
"BD",237,-0.17,2017,"CP",-0.02,"Oecussi Ambeno"
"BD",244,-0.07,2017,"CP",0.03,"Curacao"
"BD",245,-0.06,2017,"CP",0.03,"Bonaire"
"BD",247,-0.14,2017,"CP",0.02,"Brunei"
"BD",248,-0.05,2017,"CP",0.03,"Saba"
"BD",249,-0.01,2017,"CP",0.03,"Sint Eustatius"
"BD",250,-0.06,2017,"CP",0.03,"Aruba"
